v1_column,v2_column,change_type
"/DataEnvelope/institute","/DataEnvelope/institute","unchanged"
"/DataEnvelope/ID","/DataEnvelope/ID","unchanged"
"/DataEnvelope/status","/DataEnvelope/status","unchanged"
"/DataEnvelope/BasicInformation/title","/DataEnvelope/DataEnvelopeMetadata/title","moved"
"/DataEnvelope/BasicInformation/title/@xml:lang","/DataEnvelope/DataEnvelopeMetadata/title/@xml:lang","moved"
"/DataEnvelope/BasicInformation/ContactDetails/name","/DataEnvelope/DatasetMetadata/ResponsibleAgents/ContactPoint/personName","renamed"
"/DataEnvelope/BasicInformation/ContactDetails/orcidID","/DataEnvelope/DatasetMetadata/ResponsibleAgents/ContactPoint/orcidId","renamed"
"/DataEnvelope/BasicInformation/ContactDetails/roleInProject","/DataEnvelope/DatasetMetadata/ResponsibleAgents/ContactPoint/role","renamed"
"/DataEnvelope/BasicInformation/ContactDetails/email","/DataEnvelope/DatasetMetadata/ResponsibleAgents/ContactPoint/email","moved"
"/DataEnvelope/BasicInformation/Dates/creationDateFrom","/DataEnvelope/DataEnvelopeMetadata/Version/Dates/creationDateFrom","moved"
"/DataEnvelope/BasicInformation/Dates/creationDateTo","/DataEnvelope/DataEnvelopeMetadata/Version/Dates/creationDateTo","moved"
"/DataEnvelope/BasicInformation/Dates/publicationDate","/DataEnvelope/DataEnvelopeMetadata/Version/Dates/publicationDate","moved"
"/DataEnvelope/BasicInformation/authorDataEnvelope/name","/DataEnvelope/DataEnvelopeMetadata/AuthorDataEnvelope/personName","renamed"
"/DataEnvelope/BasicInformation/authorDataEnvelope/orcidID","/DataEnvelope/DataEnvelopeMetadata/AuthorDataEnvelope/orcidId","renamed"
"/DataEnvelope/BasicInformation/authorDataEnvelope/email","/DataEnvelope/DataEnvelopeMetadata/AuthorDataEnvelope/email","moved"
"/DataEnvelope/BasicInformation/feedbackElaboration/feedbackSectionOne","/DataEnvelope/DataEnvelopeMetadata/Comments/comment","renamed"
"/DataEnvelope/BasicMetadata/Snapshot/title","/DataEnvelope/DatasetMetadata/title","moved"
"/DataEnvelope/BasicMetadata/Snapshot/title/@xml:lang","/DataEnvelope/DatasetMetadata/title/@xml:lang","moved"
